year,to_country_id,to_country,performer,song,place_contest,sf_num,running_final,running_sf,place_final,points_final,place_sf,points_sf,points_tele_final,points_jury_final,points_tele_sf,points_jury_sf,composers,lyricists,lyrics,youtube_url
2025,fr,France,Louane,Maman,,,,,,,,,,,,,Louane;Tristan Salvati,Louane,"Maman\n\nY'a plus d'amants\nY'a plus de lits\nFinalement tu vois\nJ'ai construit ma vie\nEt le vide est grand\nLes questions aussi\nToi, tu vas comment ?\nEst-ce que tu vois tout ici ?\n\nEt j'ai bien changé\nJ'ai bien grandi\nDe toi j'ai gardé\nTout ce qui fait qui je suis\n\nJe vais mieux, je sais où je vais\nJ'ai arrêté d'compter les années\nEt si j'ai voulu arrêter le temps\nMaintenant c'est moi qu'elle appelle maman\n\nMaman…\nMaman…\nMaman…\n\nJ'ai trouvé l'amour indélébile\nTu sais le vrai toujours\nMême quand le temps file\nQuand il me tient la main\nJ'ai plus peur de rien\nEt ça m'fait comme avant\nQuand toi tu m'tenais la main\n\nJe vais mieux, je sais où je vais\nJ'ai arrêté d'compter les années\nEt si j'ai voulu arrêter le temps\nMaintenant c'est moi qu'elle appelle maman\n\nMaman…\nMaman…\nMaman…\nMaman…\nMaman…\nMaman…\n\nJe vais mieux, je sais où je vais\nJ'ai arrêté d'compter les années\nEt si j'ai voulu arrêter le temps\nMaintenant c'est moi qu'elle appelle\nMaman, maman, maman, maman\nMaman…\n\nSi j'ai voulu arrêter le temps\nMaintenant c'eѕt moi qu'elle appelle\nMamаn",https://youtube.com/watch?v=Pj2DTSLcNnI
2025,de,Germany,Abor & Tynna,Baller,,,,,,,,,,,,,Attila Bornemisza;Alexander Hauer;Tünde Bornemisza,,"Baller\n\nIch ballalalalalalaler Löcher in die Nacht\nSterne fallalalalen und knallen auf mein Dach\nEs tut noch bisschen weh, wenn ich dich wiederseh', aber\nIch komm' nie wieder, egal was du mir sagst\n\nIch ballalalalalalaler Löcher in die Nacht\nSterne fallalalalen und knallen auf mein Dach\nEs tut noch bisschen weh, wenn ich dich wiederseh', aber\nIch komm' nie wieder, egal was du mir sagst\n\nKreidesilhouetten auf dem Trottoir\nZwischen uns ein Tatort, wie bei CSI\nHast ""Baby tut mir leid"" gesagt, zum ersten Mal\nHätt' wissen sollen, dass das das Ende von uns war\n\nDu setzt ein' Punkt nach dem Satz, als hättest du mich nie gekannt\nAlso wechsle ich Parfums und kauf' mir neues Gewand\nIch krieg' wieder diesen Drang, ich will den Weltuntergang\nHah ich glaub' das wars, I shoot for the stars\n\nIch ballalalalalalaler Löcher in die Nacht\nSterne fallalalalen und knallen auf mein Dach\nEs tut noch bisschen weh, wenn ich dich wiederseh', aber\nIch komm' nie wieder, egal was du mir sagst\n\nIch ballalalalalalaler Löcher in die Nacht\nSterne fallalalalen und knallen auf mein Dach\nEs tut noch bisschen weh, wenn ich dich wiederseh', aber\nIch komm' nie wieder, egal was du mir sagst\n\nIch seh' die Sternensplitter, auf meiner Haut wie Glitzer\nHab' gelernt was mich nicht killt, macht mich nur schicker\nWürdest du für mich immer noch 'ne Kugel fangen?\nWeil deine Waffe, ist jetzt in meiner Hand\n\nIch setz' ein Punkt nach dem Satz, als hätt' ich dich nie gekannt\nUnd dann wechsle ich Parfums und kauf' mir neues Gewand\nIch krieg' wieder diesen Drang, ich will den Weltuntergang\nHah ich glaub' das wars, I shoot for the stars\n\nIch ballalalalalalaler Löcher in die Nacht\nSterne fallalalalen und knallen auf mein Dach\nEs tut noch bisschen weh, wenn ich dich wiederseh', aber\nIch komm' nie wieder, egal was du mir sagst\n\nIch ballalalalalalaler Löcher in die Nacht\nSterne fallalalalen und knallen auf mein Dach\nEs tut noch bisschen weh, wenn ich dich wiederseh', aber\nIch komm' nie wieder, egal was du mir sagѕt\n\nIch baller', la-la\nIch baller', la\nLa-la-la-la-lа",https://youtube.com/watch?v=zJplC4-9Scs
2025,it,Italy,Lucio Corsi,Volevo essere un duro,,,,,,,,,,,,,Lucio Corsi;Tommaso Ottomano,,"Volevo essere un duro\n\nVolevo essere un duro\nChe non gli importa del futuro\nUn robot\nUn lottatore di sumo\nUno spaccino in fuga da un cane lupo\nAlla stazione di Bolo\nUna gallina dalle uova d'oro\n\nPerò non sono nessuno\nNon sono nato con la faccia da duro\nHo anche paura del buio\nSe faccio a botte le prendo\nCosì mi truccano gli occhi di nero\nMa non ho mai perso tempo\nÈ lui che mi ha lasciato indietro\n\nVivere la vita\nÈ un gioco da ragazzi\nMe lo diceva mamma ed io\nCadevo giù dagli alberi\nQuanto è duro il mondo\nPer quelli normali\nChe hanno poco amore intorno\nO troppo sole negli occhiali\n\nVolevo essere un duro\nChe non gli importa del futuro no\nUn robot\nMedaglia d'oro di sputo\nLo scippatore che t'aspetta nel buio\nIl Re di Porta Portese\nLa gazza ladra che ti ruba la fede\n\nVivere la vita\nÈ un gioco da ragazzi\nMe lo diceva mamma ed io\nCadevo giù dagli alberi\nQuanto è duro il mondo\nPer quelli normali\nChe hanno poco amore intorno\nO troppo sole negli occhiali\n\nVolevo essere un duro\nPerò non sono nessuno\nCintura bianca di Judo\nInvece che una stella uno starnuto\n\nI girasoli con gli occhiali mi hanno detto\n""Stai attento alla luce""\nE che le lune senza buche\nSono fregature\nE che in fondo è inutile fuggire\nDalle tue paure\n\nVivere la vita\nÈ un gioco da ragazzi\nIo\nIo volevo essere un duro\nPerò non sono nessuno\nNon sono altro che Lucio\nNon ѕono аltro che Lucio",https://youtube.com/watch?v=mfAf9-5Oevw
2025,es,Spain,Melody,Esa diva,,,,,,,,,,,,,Alberto Fuentes Lorite;Melodía Ruiz Gutiérrez,,"Esa diva\n\nDesde que era bien pequeña\nAntes de saber andar\nFui del mundo la rumbera\nPara mí era tan normal\n\nY descubrí a una suprema del teatro\nDespreciando a los demás del camerino\nPero la supuesta diva\nPor el eco de una vida\nQue no le pertenecía\nSe embrujó\n\nUna diva es sencilla\nComo un simple mortal\nUna diva no pisa\nA nadie para brillar\nSu voz le hace grande\n¿Qué más da?\nSi ella es libre cantando\nComo un pez en el mar\n\nUna diva es valiente\nPoderosa\nSu vida es un jardín lleno de espinas y rosas\nResurge bailando\nCon más fuerza que un huracán\n\nEs la madre que madruga\nEs la artista sin cartel\nCon dinero o sin fortuna\nEllas son divas también\n\nNo es la fama tu grandeza\nLa igualdad es mi bandera\nY la música es mi única ilusión\n\nUna diva es sencilla\nComo un simple mortal\nUna diva no pisa\nA nadie para brillar\nSu voz le hace grande\n¿Qué más da?\nSi ella es libre cantando\nComo un pez en el mar\n\nUna diva es valiente\nPoderosa\nSu vida es un jardín lleno de espinas y rosas\nResurge bailando\nCon más fuerza que un huracán\nYa verán\n\n(Diva, diva, diva…)\n\n¡Somos divas tú y yo!\n\nSi ella es libre cantando\nComo un pez en el mar\n\nUna diva es valiente\nPoderosa\nSu vida es un jardín lleno de espinas y rosas\nResurge bailando\nCon más fuerza que un huracán\nYa verán\n\n¡Esa divа ѕoy yo!",https://youtube.com/watch?v=H46FB-rLh04
2025,ch,Switzerland,Zoë Më,Voyage,,,19.0,,,,,,,,,,Emily Middlemas;Tom Oehler;Zoë Më,,"Voyage\n\nMes yeux candides découvrent le monde\nD'une façon naïve à faire confondre\nLes démons de la nuit\nMmh, mmh\nTu me balances des mots qui m'étouffent\nQuoi qu'il advienne je me couche\nPrès de toi ce soir\nMmh, mmh\n\nTu comprendras un jour\nQue les fleurs sont plus belles\nQuand tu les arroses\nTu m'as coupé tellement de…\n\n…fois\nSi tu veux je pars\nAvec toi pour faire un voyage\nFaire un voyage, voyage\nFaire un voyage avec toi\n\nLaisse-moi t'aimer même si tu m'aimes pas\nJe vais me noyer dans tes larmes\nJe vais partager ton vague à l'âme\nTu me bouffes avec ton regard\nQuoi qu'il advienne je ne cesserai jamais\nDe chanter pour toi\n\nTu comprendras un jour\nQue les fleurs sont plus belles\nQuand tu les arroses\nTu m'as coupé tellement de…\n\n…fois\nSi tu veux je pars\nAvec toi pour faire un voyage\nFaire un voyage, voyage\nFaire un voyage avec toi\n\nFaire un, faire un voyage\nFaire un, faire un voyage\nFaire un, faire un voyage\nAvec moi\n\nFaire un, faire un voyage\nFaire un, faire un voyage\nFaire un, faire un voyage\nAvec moi, avec…\n\n…moi\nSi tu veux je parѕ\nAvec toi pour faire un voyage\nFaire un voyage, voyage\nFaire un voyage аvec toi",https://youtube.com/watch?v=dGX54zRExR8
2025,gb,United Kingdom,Remember Monday,What The Hell Just Happened?,,,,,,,,,,,,,Charlotte Steele;Holly-Anne Hull;Julie Aagaard;Lauren Byrne;Samuel Brennan;Thomas Stengaard;Tom Hollings,,"What The Hell Just Happened?\n\nSomeone lost a shoe\nI'm still in last night's makeup\nI'm waking up like, ""What's this new tattoo?""\nRoom is spinning, ears are ringing\nClutch my pearls like\n\nWhat the hell just happened?\nWhat the hell just happened?\nNo clue, but l liked it\n\n(One, two, one, two, three)\n\nBroke a heel, lost my keys, scraped my knee\nWhen I fell from the chandelier\nOh, what a night, I don't mind, it was time\nTo unwind and I volunteered\nLook at me now\nI'm like usually keep it clean\nBeauty sleep, sip my tea\n\nWhat the hell just happened?\nWhat the hell just happened?\nWent up on the roof, jumped into the pool\nYou should do it too, too, too, too\nWhat the hell just happened?\nNo clue, but l liked it\n\nRipped my dress, called my ex, I confess\nI'm obsessed, not the best idea\nI'm a mess, it's a trend, in my defence\nIt's been a real hard year\nFreedom, I wanna shave my head\nFreedom, paint the whole town red\nFreedom, I wanna kiss a stranger\n\nWhat the hell just happened?\nWhat the hell just happened?\n\nWhat the hell just happened?\nWhat the hell just happened?\nWent up on the roof, jumped into the pool\nYou should do it too, too, too, too\nI know that I'm a wreck, what did you expect?\nYou can blame my e-e-ex\nWhat the hell juѕt hаppened?\nNo clue, but l liked it",https://youtube.com/watch?v=-hu6R3ZnOdY
2025,is,Iceland,Væb,Róa,,,,,,,,,,,,,Gunnar Björn Gunnarsson;Hálfdán Helgi Matthíasson;Ingi Bauer;Matthías Davíð Matthíasson,Hálfdán Helgi Matthíasson;Ingi Bauer;Matthías Davíð Matthíasson,"Róa\n\nRóandi hér, róandi þar\nRóa í gegnum öldurnar\nÞað getur ekkert stoppað mig af\n\nRóandi hér, róandi þar\nRóa í gegnum öldurnar\nÞað getur ekkert stoppað mig af\n\nÉg set spýtu ofan á spýtu\nOg kalla það bát\nEf ég sekk í dag\nEr það ekkert mál\n\nMeð árar úr stáli\nSem duga í ár\nStefni á Færeyjar\nJá, eg er klár\n\nÉg er með vesti fyrir belti og vatnshelda skó\nÞví að veðrið það er erfitt ég er kominn með nóg\n\nEr sjórinn opnast koma öldurnar\nÉg er einn á bát að leita af betri stað\nÉg er ekki ennþá búin að missa allt\nEn við setjum seglin upp og höldum aftur af stað\n\nRóandi hér, róandi þar\nRóa í gegnum öldurnar\nÞað getur ekkert stoppað mig af\n\nRóandi hér, róandi þar\nRóa í gegnum öldurnar\nÞað getur ekkert stoppað mig af\n\nÉg er ennþá á bát\nSjáðu þetta vá\nStoppa í Grænlandi?\nJá ég er down\n\nStýri á sjó ég er kapteinn\nKallaðu mig Gísli Marteinn\nMargir mánuðir síðan ég sá síðast sól\nVil eyða restinni af lífinu hér út á sjó\n\nEr sjórinn opnast koma öldurnar\nÉg er enn á bát að leita af betri stað\nÉg er ekki ennþá búin að missa allt\nEn við setjum seglin upp og höldum aftur af stað\n\nRóandi hér, róandi þar\nRóa í gegnum öldurnar\nÞað getur ekkert stoppað mig af\n\nRóandi hér, róandi þar\nRóa í gegnum öldurnar\nÞað getur ekkert stoppað mig af\n\nRóandi hér, róandi þar\nRóa í gegnum öldurnar\nÞað getur ekkert stoppað mig af\n\nRóandi hér, róandi þar\nRóa í gegnum öldurnar\nÞað getur ekkert stoppað mig af\nÞað getur ekkert stoppað mig af\nÞað getur ekkert stoppað mig af\n\nÞað getur ekkert ѕtoppað mig аf",https://youtube.com/watch?v=LZE1WzOwtQQ
2025,pl,Poland,Justyna Steczkowska,Gaja,,,,,,,,,,,,,Dominic Buczkowski-Wojtaszek;Emilian Waluchowski;Justyna Steczkowska;Patryk Kumór,Emilian Waluchowski;Justyna Steczkowska;Patryk Kumór,Gaja\n\n(They call me Gaia)\n\nRanisz moje serce Ty\nKtóry moją miłość masz za nic\nNaznaczyłeś sobą mnie\nObudziłeś samotności krzyk\n\nMoje imię Gaja\nJestem bogiem\nSiłą\nMoją matką miłość\nKiedy płaczę\nTo we łzach tonie świat\nTulę w swych ramionach zaginiony czas\n\nGaja…\nJa Gaja…\nCzas\nJa Gaja…\n\nJestem stwórcą twego ja\nDuszy zgubą\nTwoim ocaleniem\nW krwioobiegu płynie czas\nŚwięta woda zmywa przeznaczenie\n\nThey call me Gaia\nI'm the love\nI'm the life of all imagined\nThe world drowns as it watches me cry\nI'll be holding it close in my arms\n\nMoje imię Gaja\nTime\nCzas\n\nZargo\nRaga\nUrra\nGara\nJarga\nJarun\nEra\nCzarodoro\n\nCzaѕ\nMoje imię Gajа,https://youtube.com/watch?v=YXHHDjiclxA
2025,si,Slovenia,Klemen,How Much Time Do We Have Left,,,,,,,,,,,,,Klemen Slakonja,,How Much Time Do We Have Left\n\nOur baby boy\nWas crawling in the living room\nYou read a diagnosis\nIt said that you'd be dying soon\nIt was a sunny day\nThrough the window\nThere were people going on their ways\nOur little child had the biggest smile\nWhile we couldn't do nothing but cry\n\nHow much time do we have left together\nWe never know\nAll I know is I don't want to be here\nWithout your love\nHow much time do we have left together\nWe never know\nWe never know\nWish we could take it slow\n\nA man in white\nWith a room full of diplomas\nTrying to get it right\nCould put you under hypnosis\nBy saying to give up the fight\nBut you were always determined to try\n\nHow much time do we have left together\nWe never know\nAll I know is I don't want to be here\nWithout your love\nHow much time do we have left together\nWe never know\nWe never know\nBut we keep standing strong\n\nI admire your power\nI admire your will\nYou made me question the world\nYou made me question what's real\nI admire your power\nI admire your will\nYour ability to heal\n\nI admire your power\nI admire your will\nThe way you never gave up\nUntil you grew wings\nAnd you learned how to fly\nMade a loop in the sky\nYou landed right into my arms\n\nHow much time do we have left together\nWe never know\nAll I know is I don't want to be here\n(Without your love)\nHow much time do we have left together\nWe never know\nWe never know\nWish we could tаke it ѕlow,https://youtube.com/watch?v=qTS2L0VcaVI
2025,ee,Estonia,Tommy Cash,Espresso macchiato,,,,,,,,,,,,,Johannes Naukkarinen;Tomas Tammemets,,"Espresso macchiato\n\nMi amore\nMi amore\nEspresso macchiato, macchiato, macchiato\nPor favore\nPor favore\nEspresso macchiato corneo\n\nMi amore\nMi amore\nEspresso macchiato, macchiato, macchiato\nPor favore\nPor favore\nEspresso macchiato\nEspresso macchiato\n\nCiao bella I'm Tomaso\nAddicted to tobacco\nI like my coffee very Importante\n\nNo time to talk miscusi\nMy days are very busy\nCos i own this little ristorante\nLife may give you lemons\nWhen dancing with the demons\nNo stresso no stresso\nNo need to be depresso\n\nMi amore\nMi amore\nEspresso macchiato, macchiato, macchiato\nPor favore\nPor favore\nEspresso macchiato corneo\n\nMi amore\nMi amore\nEspresso macchiato, macchiato, macchiato\nPor favore\nPor favore\nEspresso macchiato\nEspresso macchiato\n\nMi like to fly privati\nWith 24 carati\nAlso mi casa very\nGrandioso\nMi money numeroso\nI work around the clocko\nIt keeps me sweating like a mafioso\n\nLife is like spaghetti\nIt's hard until you make it\nNo stresso no stresso\nIt's gonna be espresso\n\nMi amore\nMi amore\nEspresso macchiato, macchiato, macchiato\nPor favore\nPor favore\nEspresso macchiato\nEspresso macchiato\n\nLa la la…\n\nEspresso macchiato\nEspresѕo macchiаto",https://youtube.com/watch?v=sHt5f8hUei4
